Link,Tipo,Nome do Evento,Escola,Área,Duração
https://unisinos.br/lab/cursos/aula-pratica-dosagem-e-administracao-de-medicamentos-ev000531-00001-2024,Eventos,Aula Prática: Dosagem e Administração de Medicamentos,Escola,Saúde,3 horas
https://unisinos.br/lab/cursos/seminario-do-ppg-em-biologia-unisinos-ev000527-00001-2024,Eventos,Seminário do PPG em Biologia/UNISINOS,Escola,Politécnica,1h30 minutos
https://unisinos.br/lab/cursos/declaracao-de-imposto-de-renda-pessoa-fisica-2024-ev000526-00001-2024,Eventos,Declaração de Imposto de Renda Pessoa Física 2024,Escola,Gestão e Negócios,2h30 minutos
https://unisinos.br/lab/cursos/palestra-suicidio-da-identificacao-ao-manejo-ev000515-00001-2024,Eventos,Palestra: Suicídio: Da Identificação ao Manejo,Escola,Saúde,2 horas
https://unisinos.br/lab/cursos/comunicando-para-cuidar-tecendo-lacos-e-transformando-vidas-atraves-das-palavras-ev000511-00001-2024,Eventos,Comunicando para Cuidar: tecendo laços e transformando vidas através das PALAVRAS,Escola,Saúde,3 horas
https://unisinos.br/lab/cursos/workshop-do-curso-de-moda-2024-01-ev000530-00001-2024,Eventos,Workshop do Curso de Moda – 2024/01,Escola,Indústria Criativa,40 horas
https://unisinos.br/lab/cursos/papo-foodtech-oportunidades-e-desafios-ev000505-00001-2024,Eventos,Papo Foodtech: Oportunidades e Desafios,Escola,Saúde,3 horas
https://unisinos.br/lab/cursos/seminario-internacional-conhecendo-a-carta-de-direitos-fundamentais-da-uniao-europeia-modulo-jean-monnet-ev000525-00001-2024,Eventos,Seminário Internacional “Conhecendo a Carta de Direitos Fundamentais da União Europeia” (Módulo Jean Monnet),Direito,Não especificada,12 horas
https://unisinos.br/lab/cursos/ihu-ideias-abril-2024-ex921236-00001-1505,Eventos,IHU Ideias Abril - 2024,Humanidades,Não especificada,6 horas
https://unisinos.br/lab/cursos/abordagens-psicologicas-para-alem-das-abordagens-tradicionais-ev000532-00001-2024,Eventos,Abordagens Psicológicas: Para Além das Abordagens Tradicionais,Escola,Saúde,1 hora
https://unisinos.br/lab/cursos/viii-congresso-internacional-de-educacao-da-unisinos-ev000497-00001-2024,Eventos,VIII Congresso Internacional de Educação da Unisinos,Escola,Humanidades,7h30 minutos
https://unisinos.br/lab/cursos/linkedin-uma-ferramenta-que-pode-impulsionar-a-sua-carreira-ex921207-00002-1505,Eventos,LinkedIn – uma ferramenta que pode impulsionar a sua carreira,Escola,Gestão e Negócios,1h30 minutos
https://unisinos.br/lab/cursos/tccendo-ev000486-00001-2024,Eventos,TCCendo,Humanidades,Não especificada,7h30 minutos
https://unisinos.br/lab/cursos/america-latina-em-tempos-de-penumbra-incertezas-e-possiveis-rotas-ex921224-00001-1505,Eventos,América Latina em tempos de penumbra. Incertezas e possíveis rotas,Humanidades,Não especificada,13h30 minutos
https://unisinos.br/lab/cursos/oficina-de-sutura-ev000512-00001-2024,Eventos,Oficina de Sutura,Escola,Saúde,3 horas
https://unisinos.br/lab/cursos/a-fenomenologia-do-espirito-de-hegel-leitura-e-analise-ev000484-00001-2024,Eventos,A Fenomenologia do Espírito de Hegel - Leitura e Análise,Humanidades,Não especificada,25h30 minutos
https://unisinos.br/lab/cursos/ei-voce-ai-vamos-tentar-entender-o-cenario-social-e-economico-ex920080-00015-1505,MOOCs,"Ei, Você Aí! Vamos Tentar Entender o Cenário Social e Econômico?",Gestão e Negócios,Não especificada,20 horas
https://unisinos.br/lab/cursos/introducao-a-lingua-brasileira-de-sinais-ex920081-00020-1505,MOOCs,Introdução à Língua Brasileira de Sinais,Humanidades,Não especificada,30 horas
https://unisinos.br/lab/cursos/entendendo-o-cenario-economico-ex920082-00013-1505,MOOCs,Entendendo o Cenário Econômico,Gestão e Negócios,Não especificada,16 horas
https://unisinos.br/lab/cursos/fotografia-institucional-ex920083-00013-1505,MOOCs,Fotografia Institucional,Indústria Criativa,Não especificada,16 horas
https://unisinos.br/lab/cursos/inovacao-e-empreendedorismo-ex920085-00013-1505,MOOCs,Inovação e Empreendedorismo,Gestão e Negócios,Não especificada,16 horas
